frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
344,149.0,"[709.1679478787464, 866.8889586843686, 1088.3730925595987, 1515.7736696841878]","[828.3125610351562, 1082.595947265625, 989.854248046875, 1186.925048828125]","59-V3
305.99"
345,149.0,"[715.3215042564211, 873.0651146750597, 1088.771557525505, 1516.0502955909433]","[832.7462768554688, 1085.855712890625, 992.2098999023438, 1189.1649169921875]","59-V3
305.99"
346,149.0,"[717.3242185720081, 878.54531705306, 1087.3447863619472, 1513.1557635907807]","[839.5497436523438, 1083.877685546875, 994.3712768554688, 1184.585205078125]","59-V3
305.99"
347,149.0,"[723.9472851806486, 877.0582902146557, 1088.2466543799, 1507.7743739370521]","[843.4581298828125, 1085.1031494140625, 999.4771728515625, 1185.4140625]","59-V3
305.99"
348,149.0,"[731.3507711885466, 871.6737858110579, 1089.1124934193153, 1500.9131502550003]","[848.6986083984375, 1082.80419921875, 1007.18115234375, 1182.67236328125]","59-V3
305.99"
349,149.0,"[737.6161394507388, 877.4984784175253, 1089.180680057352, 1497.7007018125169]","[860.1381225585938, 1076.06884765625, 1014.0939331054688, 1177.084228515625]","59-V3
305.99"
350,149.0,"[743.5718880100839, 885.6296627654815, 1089.0999762972501, 1493.0135778087838]","[864.9647827148438, 1069.3642578125, 1020.7066040039062, 1169.605712890625]","59-V3
305.99"
351,149.0,"[748.4299200920038, 889.308030718695, 1088.531152914851, 1486.7394917968936]","[870.1957397460938, 1064.614501953125, 1024.928955078125, 1165.330322265625]","59-V3
305.99"
352,149.0,"[752.1522782362442, 886.055177310142, 1087.6575482216692, 1476.5389444045422]","[870.0003662109375, 1061.082275390625, 1024.326416015625, 1159.3941650390625]","59-V3
305.99"
353,149.0,"[755.0352519028763, 883.0142024440718, 1086.7332421126416, 1466.4464902700545]","[869.7615966796875, 1056.337646484375, 1023.226318359375, 1153.963623046875]","59-V3
305.99"
354,149.0,"[755.7532343375049, 877.5052937648136, 1085.244306243886, 1458.004609096797]","[869.9214477539062, 1053.14404296875, 1020.440185546875, 1151.662109375]","59-V3
305.99"
355,149.0,"[756.9561010776681, 859.8881085179506, 1084.5544324357575, 1445.2844572172744]","[866.7786254882812, 1048.370361328125, 1018.8810424804688, 1146.14892578125]","59-V3
305.99"
356,149.0,"[757.6162977003186, 849.3913234448271, 1083.8404693699968, 1436.7404615446305]","[867.47314453125, 1039.3876953125, 1015.946044921875, 1135.392822265625]","59-V3
305.99"
356,174.0,"[18.843242087218, 592.3338861213311, 249.4710309577041, 936.3613290271886]","[19.14159393310547, 733.28076171875, 94.57516479492188, 785.7669677734375]","59-Y3
728.57"
